word,machine_translation,human_translation,label,emotion_intensity_score
biennial,biennial,shekara biyu-biyu,anticipation,0.367
shiver,rawar jiki,rawar jiki,anticipation,0.367
theory,ka'idar,ƙa'ida,anticipation,0.359
offset,biya diyya,biya diyya,anticipation,0.359
atone,kafara,kafara,anticipation,0.359
theology,tiyoloji,tiyoloji,anticipation,0.359
undying,m,dawwamamme,anticipation,0.359
timidity,rashin kunya,rashin kunya,anticipation,0.359
plump,m,dunƙule,anticipation,0.359
audience,masu sauraro,masu sauraro,anticipation,0.357
nobility,daraja,daraja,anticipation,0.352
localize,fassara,fassara,anticipation,0.352
paragon,paragon,abin koyi,anticipation,0.352
edition,bugu,bugu,anticipation,0.352
kindred,dangi,dangi,anticipation,0.352
dietary,na abinci,na abinci,anticipation,0.352
closure,rufewa,rufewa,anticipation,0.352
daily,kullum,kullum,anticipation,0.352
farm,gona,gona,anticipation,0.352
store,shago,shago,anticipation,0.352
cramp,cramp,hana motsi,anticipation,0.352
consecration,keɓewa,keɓewa,anticipation,0.352
wireless,mara waya,mara waya,anticipation,0.344
errand,aiki,aiki,anticipation,0.344
meditate,yin zuzzurfan tunani,yin zuzzurfan tunani,anticipation,0.344
stripped,ya tube,ya tuɓe,anticipation,0.344
mobile,wayar hannu,wayar hannu,anticipation,0.344
archaeology,ilmin kimiya na kayan tarihi,ilmin kimiya na kayan tarihi,anticipation,0.344
unaccountable,wanda ba a iya lissafi,wanda ba a iya lissafi,anticipation,0.336
buddy,aboki,aboki,anticipation,0.336
unbeaten,rashin nasara,rashin nasara,anticipation,0.336
germ,ƙwayar cuta,ƙwayar cuta,anticipation,0.336
brotherly,yan'uwan juna,yan'uwan juna,anticipation,0.336
lessen,rage,rage,anticipation,0.336
pare,gaskiya,gaskiya,anticipation,0.336
chastity,tsarki,tsarki,anticipation,0.328
council,majalisa,majalisa,anticipation,0.328
patient,mai haƙuri,mai haƙuri,anticipation,0.328
possess,mallaka,mallaka,anticipation,0.328
digress,digress,kaucewa,anticipation,0.328
secular,na boko,na boko,anticipation,0.328
ribbon,kintinkiri,kintinkiri,anticipation,0.328
dove,kurciya,kurciya,anticipation,0.328
olfactory,ƙanshi,ƙanshi,anticipation,0.328
immature,m,rashin balaga,anticipation,0.32
fancy,zato,zato,anticipation,0.32
disposed,zubar,zubar,anticipation,0.32
heft,heft,nauyi,anticipation,0.32
paddle,filafili,filafili,anticipation,0.32
cove,rufewa,rufewa,anticipation,0.32
regularity,akai -akai,akai -akai,anticipation,0.32
mediator,matsakanci,matsakanci,anticipation,0.32
preservative,mai kiyayewa,mai kiyayewa,anticipation,0.32
scrutinize,bincika,bincika,anticipation,0.32
infanticide,kashe -kashe,kashe -kashe,anticipation,0.32
denying,musu,musu,anticipation,0.312
analyst,manazarci,manazarci,anticipation,0.312
unpublished,ba a buga ba,ba a buga ba,anticipation,0.312
church,coci,coci,anticipation,0.312
grim,m,mai tsanani/duhu,anticipation,0.312
bugle,bugle,mabushi,anticipation,0.312
mill,niƙa,niƙa,anticipation,0.305
priesthood,firist,firist,anticipation,0.305
broadside,fadin,faɗi,anticipation,0.305
judicial,shari'a,shari'a,anticipation,0.305
saliva,yau,yau,anticipation,0.297
thermocouple,thermocouple,ma'auni,anticipation,0.297
dismay,damuwa,damuwa,anticipation,0.297
cap,hula,hula,anticipation,0.297
instructor,malami,malami,anticipation,0.297
exhaustion,gajiya,gajiya,anticipation,0.297
tributary,na haraji,na haraji,anticipation,0.297
shackle,dauri,ɗauri,anticipation,0.289
cataract,cataract,yanar ido,anticipation,0.289
wont,saba,saba,anticipation,0.289
bruise,kurma,kurma,anticipation,0.289
visor,visor,makari,anticipation,0.289
addresses,adiresoshin,adiresoshi,anticipation,0.289
homeless,marasa gida,marasa gida,anticipation,0.289
discreet,m,kaucewa abin kunya,anticipation,0.289
network,cibiyar sadarwa,cibiyar sadarwa,anticipation,0.289
noncompliance,rashin biyayya,rashin biyayya,anticipation,0.289
astronomer,masanin taurari,masanin taurari,anticipation,0.281
neighbor,makwabci,maƙwabci,anticipation,0.281
skewed,karkata,karkata,anticipation,0.281
sentence,hukunci,hukunci,anticipation,0.273
picket,picket,masu zanga-zanga,anticipation,0.273
immaturity,rashin balaga,rashin balaga,anticipation,0.273
cream,kirim,kirim,anticipation,0.273
devil,shaidan,shaiɗan,anticipation,0.273
latent,latent,mai yiwuwa,anticipation,0.273
holiness,tsarki,tsarki,anticipation,0.273
lull,lull,shiru,anticipation,0.266
morals,dabi'u,ɗabi'u,anticipation,0.266
habitual,na al'ada,na al'ada,anticipation,0.266
neighborhood,unguwa,unguwa,anticipation,0.266
weight,nauyi,nauyi,anticipation,0.258
bye,wallahi,wallahi,anticipation,0.258
forearm,gaba,gaba,anticipation,0.25
clown,wawa,wawa,anticipation,0.25
organ,gabobin jiki,gaɓoɓin jiki,anticipation,0.25
quote,faɗi,faɗi,anticipation,0.242
commonplace,gama gari,gama gari,anticipation,0.242
dictatorship,mulkin kama -karya,mulkin kama -karya,anticipation,0.234
treadmill,treadmill,na'urar gudu,anticipation,0.234
board,jirgi,jirgi,anticipation,0.234
rail,dogo,dogo,anticipation,0.234
tree,itace,itace,anticipation,0.227
sundial,sundial,ma'auni,anticipation,0.227
paralysis,inna,inna,anticipation,0.211
worm,tsutsa,tsutsa,anticipation,0.203
cement,siminti,siminti,anticipation,0.203
organization,kungiya,ƙungiya,anticipation,0.203
lagging,m,koma-baya,anticipation,0.18
neutral,tsaka tsaki,tsaka-tsaki,anticipation,0.148
cannibalism,cin naman mutane,cin naman mutane,disgust,0.953
mutilation,yankewa,yankewa,disgust,0.93
incest,lalata,lalata,disgust,0.914
molestation,cin zarafi,cin zarafi,disgust,0.914
rape,fyade,fyaɗe,disgust,0.906
gonorrhea,gonorrhea,guloriya,disgust,0.906
cannibal,mai cin nama,mai cin nama,disgust,0.898
rot,rubewa,ruɓewa,disgust,0.891
corpse,gawa,gawa,disgust,0.883
excrement,najasa,najasa,disgust,0.883
massacre,kisan gilla,kisan gilla,disgust,0.883
barf,barf,amai,disgust,0.875
slaughter,yanka,yanka,disgust,0.875
slaughterhouse,mayanka,mayanka,disgust,0.867
filth,ƙazanta,ƙazanta,disgust,0.859
sewerage,magudanar ruwa,magudanar ruwa,disgust,0.859
incestuous,rashin aure,rashin aure,disgust,0.859
bigot,girman kai,girman kai,disgust,0.859
rancid,rancid,abinci mai wari,disgust,0.859
plague,annoba,annoba,disgust,0.852
infestation,infestation,dandazon ƙwari,disgust,0.852
holocaust,kisan kiyashi,kisan kiyashi,disgust,0.852
bloodthirsty,masu shan jini,masu shan jini,disgust,0.852
maggot,tsutsa,tsutsa,disgust,0.844
rotting,rotting,ruɓewa,disgust,0.844
feces,najasa,najasa,disgust,0.844
fecal,najasa,najasa,disgust,0.844
murder,kisan kai,kisan kai,disgust,0.839
infanticide,kashe -kashe,kashe -kashe,disgust,0.836
enslaved,bautar,bautar,disgust,0.836
homicide,kisan kai,kisan kai,disgust,0.836
asshole,mahaukaci,mahaukaci,disgust,0.836
perverted,karkatattu,karkatattu,disgust,0.828
gore,gore,zubar da jini,disgust,0.828
slaughtering,yanka,yanka,disgust,0.828
excretion,excretion,bahaya,disgust,0.828
torture,azabtarwa,gurɓata,disgust,0.828
contaminate,gurbata,gurbata,disgust,0.821
diarrhoea,gudawa,gudawa,disgust,0.82
murderer,mai kisan kai,mai kisan kai,disgust,0.82
manure,taki,taki,disgust,0.82
gory,gori,gori,disgust,0.82
repugnant,abin ƙyama,abin ƙyama,disgust,0.82
terrorist,'yan ta'adda,'yan ta'adda,disgust,0.82
shit,shirme,shirme,disgust,0.82
desecration,wulakanci,wulaƙanci,disgust,0.82
grotesque,m,mummuna,disgust,0.82
revolting,tawaye,tawaye,disgust,0.82
pervert,karkatattu,karkatattu,disgust,0.82
dismemberment,yankewa,yankewa,disgust,0.812
vomit,amai,amai,disgust,0.812
sewer,lambatu,lambatu,disgust,0.812
slavery,bauta,bauta,disgust,0.812
faeces,najasa,najasa,disgust,0.812
cadaver,gawa,gawa,disgust,0.812
manslaughter,kisan kai,kisan kai,disgust,0.812
hemorrhage,zubar jini,zubar jini,disgust,0.805
repulsive,abin ƙyama,abin ƙyama,disgust,0.805
perverse,karkatattu,karkatattu,disgust,0.805
diseased,mai ciwo,mai ciwo,disgust,0.797
filthy,ƙazanta,ƙazanta,disgust,0.797
depravity,lalata,lalata,disgust,0.797
sewage,najasa,najasa,disgust,0.797
carcass,gawa,gawa,disgust,0.795
decompose,rugujewa,rugujewa,disgust,0.789
dung,dung,kashin dabba,disgust,0.789
parasite,m,kaska,disgust,0.789
horrific,m,na tsoratarwa,disgust,0.789
murderous,mai kisan kai,mai kisan kai,disgust,0.789
puke,puke,amai,disgust,0.789
vermin,kwari,kwari,disgust,0.789
decayed,rubewa,ruɓewa,disgust,0.789
mutilated,yanke jiki,yanke jiki,disgust,0.789
herpes,herpes,huciyar zazzaɓi,disgust,0.789
gruesome,m,marar daɗi na musamman,disgust,0.789
flatulence,kumburin ciki,kumburin ciki,disgust,0.781
slime,slime,abu mai kauri da santsi,disgust,0.781
monstrosity,girman kai,girman kai,disgust,0.781
crap,banza,banza,disgust,0.781
malaria,zazzabin cizon sauro,zazzaɓin cizon sauro,disgust,0.781
pestilence,annoba,annoba,disgust,0.781
carnage,kashe -kashe,kashe -kashe,disgust,0.781
insidious,m,mai illa mai cutarwa,disgust,0.773
pus,tura,tura,disgust,0.773
morgue,dakin ajiye gawa,ɗakin ajiye gawa,disgust,0.773
loathsome,abin ƙyama,abin ƙyama,disgust,0.773
herpesvirus,herpesvirus kamuwa da cuta,kamuwa da cuta,disgust,0.773
leprosy,kuturta,kuturta,disgust,0.773
toxic,mai guba,mai guba,disgust,0.773
revulsion,tayar da hankali,tayar da hankali,disgust,0.766
anthrax,anthrax,gubar iska,disgust,0.766
regurgitation,regurgitation,haraswa,disgust,0.766
cruel,zalunci,zalunci,disgust,0.766
repugnance,abin ƙyama,abin ƙyama,disgust,0.766
xenophobia,kyamar baki,ƙyamar baƙi,disgust,0.766
whore,karuwa,karuwa,disgust,0.766
lynch,kwanciya,kashe mutum,disgust,0.766
dissection,rarrabuwa,rarrabuwa,disgust,0.759
perversion,karkacewa,karkacewa,disgust,0.758
mucous,mucous,majina,disgust,0.758
evil,mugunta,mugunta,disgust,0.758
cruelty,zalunci,zalunci,disgust,0.758
infectious,mai kamuwa da cuta,mai kamuwa da cuta,disgust,0.758
canker,kankara,ƙurajen baki,disgust,0.758
slum,unguwa,unguwa,disgust,0.758
phlegm,phlegm,kaki,disgust,0.758
decomposition,bazuwar,bazuwa,disgust,0.75
sinister,mugu,mugu,disgust,0.75
corrupting,m,mai lalatarwa,disgust,0.75
leeches,leeches,matsattsaku,disgust,0.75
stinking,wari,wari,disgust,0.742
sickening,rashin lafiya,rashin lafiya,disgust,0.742
soiled,datti,datti,disgust,0.742
deranged,deranged,hauka,disgust,0.742
mucus,gamsai,gamsai,disgust,0.742
bile,bile,maɗaciya,disgust,0.742
abhorrence,abin ƙyama,abin ƙyama,disgust,0.742
demon,aljani,aljani,disgust,0.742
abomination,abin ƙyama,abin ƙyama,disgust,0.742
demonic,na aljanu,na aljanu,disgust,0.742
septic,septic,kamuwar cuta,disgust,0.742
sicken,rashin lafiya,rashin lafiya,disgust,0.734
foul,mugunta,mugunta,disgust,0.734
cancer,ciwon daji,ciwon daji,disgust,0.734
terrorism,ta'addanci,ta'addanci,disgust,0.734
atrocity,zalunci,zalunci,disgust,0.734
crucifixion,giciye,giciye,disgust,0.734
despicable,abin ƙyama,abin ƙyama,disgust,0.734
obese,kiba,ƙiba,disgust,0.734
degeneracy,degeneracy,lalacewa,disgust,0.734
repulsion,tunkudewa,tunkuɗewa,disgust,0.727
adultery,zina,zina,disgust,0.727
grisly,grisly,tunku,disgust,0.727
dirty,datti,datti,disgust,0.727
contamination,gurbatawa,gurɓatawa,disgust,0.727
enema,enema,allurar dubura,disgust,0.727
diabolical,diabolical,siffar ibilis,disgust,0.727
bacterium,kwayan cuta,ƙwayar cuta,disgust,0.727
dysentery,ciwon ciki,ciwon ciki,disgust,0.727
morbidity,cututtuka,cututtuka,disgust,0.727
garbage,datti,datti,disgust,0.719
disgust,ƙyama,ƙyama,disgust,0.719
autopsy,gawa,gawa,disgust,0.719
bowels,hanji,hanji,disgust,0.719
contagion,yaduwa,yaɗuwa,disgust,0.719
entrails,ciki,ciki,disgust,0.719
muck,tsutsa,tsutsa,disgust,0.719
gross,babba,babba,disgust,0.719
vulgar,m,maras ɗa'a,disgust,0.719
deterioration,tabarbarewa,taɓarɓarewa,disgust,0.719
pungent,m,mai ɗaci,disgust,0.719
lewd,lalata,lalata,disgust,0.719
vicious,mugu,mugu,disgust,0.719
disfigured,nakasasshe,nakasasshe,disgust,0.719
barbaric,dabbanci,dabbanci,disgust,0.719
bloodshed,zubar da jini,zubar da jini,disgust,0.714
poisoned,guba,guba,disgust,0.711
mortification,ɓarna,ɓarna,disgust,0.711
gag,gaba,gaba,disgust,0.711
nausea,tashin zuciya,tashin zuciya,disgust,0.711
pollute,gurbata,gurɓata,disgust,0.711
tyrant,azzalumi,azzalumi,disgust,0.711
violent,tashin hankali,tashin hankali,disgust,0.711
wretched,mugu,mugu,disgust,0.711
slimy,siriri,siriri,disgust,0.703
poisoning,guba,guba,disgust,0.703
hateful,m,mai ƙiyayya,disgust,0.703
nasty,m,mai sa ƙyama,disgust,0.703
secretion,asiri,asiri,disgust,0.703
grope,gira,gira,disgust,0.703
slut,lalata,lalata,disgust,0.703
noxious,m,mai cutarwa,disgust,0.703
grime,datti,datti,disgust,0.703
depraved,lalata,lalata,disgust,0.703
nauseate,tashin zuciya,tashin zuciya,disgust,0.703
disgusting,abin ƙyama,abin ƙyama,disgust,0.703
vulgarity,alfasha,alfasha,disgust,0.703
porn,batsa,batsa,disgust,0.703
constipation,maƙarƙashiya,maƙarƙashiya,disgust,0.703
despotism,son zuciya,son zuciya,disgust,0.703
measles,kyanda,ƙyanda,disgust,0.696
hellish,wuta,wuta,disgust,0.695
scum,datti,datti,disgust,0.695
intestinal,hanji,hanji,disgust,0.695
hate,ƙiyayya,ƙiyayya,disgust,0.695
obesity,kiba,ƙiba,disgust,0.695
contagious,mai yaɗuwa,mai yaɗuwa,disgust,0.695
suicidal,kashe kansa,kashe kansa,disgust,0.695
waste,sharar gida,sharar gida,disgust,0.695
wretch,mugu,mugu,disgust,0.695
abuse,zagi,zagi,disgust,0.695
disease,cuta,cuta,disgust,0.688
contaminated,gurbata,gurɓata,disgust,0.688
ooze,zuw,zuw,disgust,0.688
smut,smut,ruɓewa,disgust,0.688
treason,cin amanar kasa,cin amanar ƙasa,disgust,0.688
rabid,rabid,tsaurin ra'ayi,disgust,0.688
heartworm,tsutsar ciki,tsutsar ciki,disgust,0.688
bestial,mafi kyau,mafi kyau,disgust,0.68
pollution,gurbatawa,gurɓatawa,disgust,0.68
freakish,m,sabon abu,disgust,0.68
soulless,marasa rai,marasa rai,disgust,0.68
abominate,abin ƙyama,abin ƙyama,disgust,0.68
germ,ƙwayar cuta,ƙwayar cuta,disgust,0.68
deformed,nakasasshe,nakasasshe,disgust,0.68
antichrist,maƙiyin Kristi,maƙiyin Kristi,disgust,0.68
abhorrent,abin ƙyama,abin ƙyama,disgust,0.68
cholera,kwalara,kwalara,disgust,0.68
sickness,rashin lafiya,rashin lafiya,disgust,0.68
hell,jahannama,jahannama,disgust,0.68
grimy,m,mai tsanani/duhu,disgust,0.68
detest,abin ƙyama,abin ƙyama,disgust,0.68
hatred,ƙiyayya,ƙiyayya,disgust,0.68
dilapidated,ya lalace,ya lalace,disgust,0.672
hideous,m,mummuna sosai,disgust,0.672
loathful,m,mai ƙyama,disgust,0.672
dictatorship,mulkin kama -karya,mulkin kama -karya,disgust,0.672
obscene,batsa,batsa,disgust,0.672
inhuman,m,rashin mutuntaka,disgust,0.672
loathing,ƙiyayya,ƙiyayya,disgust,0.672
greasy,m,marar ladabi,disgust,0.672
cess,cice,cice,disgust,0.67
devil,shaidan,shaiɗan,disgust,0.664
masochism,masochism,gamsuwa ta wahala,disgust,0.664
abominable,abin ƙyama,abin ƙyama,disgust,0.664
deadly,m,na haddasa mutuwa,disgust,0.664
nauseous,tashin zuciya,tashin zuciya,disgust,0.664
deformity,nakasa,nakasa,disgust,0.664
swine,alade,alade,disgust,0.664
heretic,bidi'a,bidi'a,disgust,0.664
discrimination,nuna bambanci,nuna bambanci,disgust,0.664
corruption,cin hanci da rashawa,cin hanci da rashawa,disgust,0.656
poisonous,mai guba,mai guba,disgust,0.656
horror,tsoro,tsoro,disgust,0.656
goo,goo,abu mai danƙo/sirri,disgust,0.656
prejudiced,son zuciya,son zuciya,disgust,0.656
poison,guba,guba,disgust,0.656
mange,girma,girma,disgust,0.656
oppression,zalunci,zalunci,disgust,0.656
horrible,m,mai razanawa,disgust,0.656
bacteria,kwayoyin cuta,ƙwayoyin cuta,disgust,0.656
death,mutuwa,mutuwa,disgust,0.656
abortion,zubar da ciki,zubar da ciki,disgust,0.656
latrines,bandaki,banɗaki,disgust,0.656
nefarious,m,mugun aiki,disgust,0.656
victimized,wanda aka zalunta,wanda aka zalunta,disgust,0.656
trash,datti,datti,disgust,0.656
vindictive,mai fansa,mai fansa,disgust,0.648
horrid,tsoro,tsoro,disgust,0.648
immoral,m,rashin ɗa'a,disgust,0.648
detestation,ƙiyayya,ƙiyayya,disgust,0.648
outhouse,waje,waje,disgust,0.648
bitch,karkiya,karkiya,disgust,0.648
ugly,mugu,mugu,disgust,0.648
sludge,laka,laka,disgust,0.648
trashy,datti,datti,disgust,0.648
indecency,lalata,lalata,disgust,0.641
horrifying,m,mai haifar da tsoro,disgust,0.641
derogatory,wulakanci,wulaƙanci,disgust,0.641
pimple,kuraje,kuraje,disgust,0.641
laxative,mai laxative,zawayi,disgust,0.641
malfeasance,malfeasance,zalunci,disgust,0.641
cystic,cystic,ƙuraje,disgust,0.641
unsightly,maras kyau,maras kyau,disgust,0.641
villainous,mugu,mugu,disgust,0.641
criminality,laifi,laifi,disgust,0.641
spew,zagi,zagi,disgust,0.641
slop,gangarawa,gangarawa,disgust,0.641
secrete,asiri,asiri,disgust,0.633
oppressive,zalunci,zalunci,disgust,0.633
rat,bera,ɓera,disgust,0.633
sinful,mai zunubi,mai zunubi,disgust,0.633
queasy,son zuciya,son zuciya,disgust,0.633
perpetrator,mai aikatawa,mai aikatawa,disgust,0.633
prostitution,karuwanci,karuwanci,disgust,0.633
mildew,mildew,ruma,disgust,0.633
doomsday,ranar alkiyama,ranar alkiyama,disgust,0.633
bigoted,mai girman kai,mai girman kai,disgust,0.633
ulcer,miki,miki,disgust,0.633
aghast,mamaki,mamaki,disgust,0.625
persecution,fitina,fitina,disgust,0.625
gluttony,cin abinci,cin abinci,disgust,0.625
stools,stool,kashi,disgust,0.625
dastardly,dastardly,mamugunci,disgust,0.625
sin,zunubi,zunubi,disgust,0.625
bloated,kumburin ciki,kumburin ciki,disgust,0.625
contemptible,abin ƙyama,abin ƙyama,disgust,0.625
ghastly,mugunta,mugunta,disgust,0.625
cuckold,cuckold,karija,disgust,0.625
suffering,wahala,wahala,disgust,0.625
degrading,ƙasƙanci,ƙasƙanci,disgust,0.625
fungus,naman gwari,naman gwari,disgust,0.625
obscenity,batsa,batsa,disgust,0.625
disgraceful,wulakanci,wulaƙanci,disgust,0.625
devilish,shaidan,shaiɗan,disgust,0.625
louse,kuzari,kuzari,disgust,0.617
diaper,diaper,famfas,disgust,0.617
deceit,yaudara,yaudara,disgust,0.617
dying,mutuwa,mutuwa,disgust,0.617
infect,cutar,cutar,disgust,0.617
crusty,m,mutum abin ƙyama,disgust,0.617
guillotine,guillotine,injin sare kai,disgust,0.617
polygamy,auren mata fiye da daya,auren mata fiye da ɗaya,disgust,0.617
loathe,ƙiyayya,ƙiyayya,disgust,0.617
sickly,rashin lafiya,rashin lafiya,disgust,0.617
atrocious,m,mai ban tsoro,disgust,0.617
fat,mai,mai,disgust,0.617
termite,lokaci,lokaci,disgust,0.617
malicious,mugu,mugu,disgust,0.617
spoil,ganimar,lalata,disgust,0.617
tetanus,tetanus,tetanas,disgust,0.617
betrayal,cin amana,cin amana,disgust,0.617
strangle,makure,maƙure,disgust,0.617
wench,ciwo,ciwo,disgust,0.617
sabotage,sabotage,maƙarƙashiya,disgust,0.609
bleeding,zubar jini,zubar jini,disgust,0.609
violently,da karfi,da ƙarfi,disgust,0.609
slander,ƙiren ƙarya,ƙiren ƙarya,disgust,0.609
deform,nakasa,nakasa,disgust,0.609
abhor,abin ƙyama,abin ƙyama,disgust,0.609
hostile,maƙiya,maƙiya,disgust,0.609
ghetto,ghetto,unguwar talakawa,disgust,0.609
brothel,gidan karuwai,gidan karuwai,disgust,0.609
venomous,dafi,dafi,disgust,0.609
drool,zuci,zuci,disgust,0.609
poaching,farauta,farauta,disgust,0.602
traitor,mayaudari,mayaudari,disgust,0.602
hag,hag,maye,disgust,0.602
ugliness,mummuna,mummuna,disgust,0.602
infidel,kafiri,kafiri,disgust,0.602
lunacy,hauka,hauka,disgust,0.602
unwashed,ba a wanke ba,ba a wanke ba,disgust,0.602
musty,musty,wari,disgust,0.602
illicit,haram,haram,disgust,0.602
swampy,fadama,fadama,disgust,0.602
deprivation,hanawa,hanawa,disgust,0.602
imprisonment,kurkuku,kurkuku,disgust,0.602
toilet,bandaki,banɗaki,disgust,0.594
slug,slug,dodon koɗi,disgust,0.594
catastrophe,bala'i,bala'i,disgust,0.594
intoxicated,maye,maye,disgust,0.594
lunatic,mahaukaci,mahaukaci,disgust,0.594
epidemic,annoba,annoba,disgust,0.594
blister,kumburi,kumburi,disgust,0.594
gut,hanji,hanji,disgust,0.594
repelling,korewa,korewa,disgust,0.594
thug,ɗan daba,ɗan daba,disgust,0.594
hostility,ƙiyayya,ƙiyayya,disgust,0.594
deceitful,yaudara,yaudara,disgust,0.594
venom,dafi,dafi,disgust,0.594
sinner,mai zunubi,mai zunubi,disgust,0.594
butcher,mahauci,mahauci,disgust,0.594
lurid,lurid,launi marar kyau,disgust,0.594
queasiness,damuwa,damuwa,disgust,0.594
misery,zullumi,zullumi,disgust,0.594
deteriorated,ya lalace,ya taɓarɓare,disgust,0.586
appalling,m,mai sa firgita,disgust,0.586
dreadful,m,mai haddasa wahala,disgust,0.586
lavatory,bandaki,banɗaki,disgust,0.586
harass,tursasawa,tursasawa,disgust,0.586
prostitute,karuwa,karuwa,disgust,0.586
unclean,marar tsarki,marar tsarki,disgust,0.586
pornography,labarin batsa,labarin batsa,disgust,0.586
conspirator,makirci,makirci,disgust,0.578
humiliating,wulakanci,wulaƙanci,disgust,0.578
ruinous,lalata,lalata,disgust,0.578
squeamish,kururuwa,kururuwa,disgust,0.578
retard,jinkiri,jinkiri,disgust,0.578
larceny,zalunci,zalunci,disgust,0.578
hypocrite,munafuki,munafuki,disgust,0.578
offensive,m,na laifi,disgust,0.578
expulsion,fitarwa,fitarwa,disgust,0.578
flea,ƙuma,ƙuma,disgust,0.578
rash,kurji,ƙurji,disgust,0.578
unfaithful,marasa aminci,marasa aminci,disgust,0.578
fiend,fiend,aljani,disgust,0.578
sick,rashin lafiya,rashin lafiya,disgust,0.578
mangle,mangle,lalatawa,disgust,0.578
debauchery,lalata,lalata,disgust,0.578
quagmire,girgiza kai,girgiza kai,disgust,0.578
serpent,maciji,maciji,disgust,0.57
oppress,zalunci,zalunci,disgust,0.57
treacherous,mayaudari,mayaudari,disgust,0.57
bastard,banza,banza,disgust,0.57
devastating,m,mai matuƙar lalacewa,disgust,0.57
spit,tofa,tofa,disgust,0.57
dank,dank,sanyi marar daɗi,disgust,0.57
dogsick,kukan karnuka,kukan karnuka,disgust,0.57
messy,m,rashin tsabta,disgust,0.57
swamp,fadama,fadama,disgust,0.57
flog,bulala,bulala,disgust,0.57
despise,raina,raina,disgust,0.57
egregious,m,mara kyau sosai,disgust,0.57
sloppy,m,rashin kulawa,disgust,0.562
ruthless,marasa tausayi,marasa tausayi,disgust,0.562
scoundrel,dan iska,ɗan iska,disgust,0.562
sordid,m,mara kyau,disgust,0.562
alcoholism,shaye -shaye,shaye -shaye,disgust,0.562
sinning,yin zunubi,yin zunubi,disgust,0.562
harlot,karuwa,karuwa,disgust,0.562
insanity,hauka,hauka,disgust,0.562
awful,m,marar daɗi ƙwarai,disgust,0.562
harmful,mai cutarwa,mai cutarwa,disgust,0.562
enemy,abokin gaba,abokin gaba,disgust,0.562
tyrannical,azzalumai,azzalumai,disgust,0.562
stealing,sata,sata,disgust,0.562
humiliation,wulakanci,wulaƙanci,disgust,0.562
terrible,m,mummuna,disgust,0.562
snake,maciji,maciji,disgust,0.562
loo,loo,shadda,disgust,0.562
indecent,m,rashin mutunci,disgust,0.562
arsenic,arsenic,kumburin hannu,disgust,0.555
insufferable,rashin iyawa,rashin iyawa,disgust,0.555
coward,matsoraci,matsoraci,disgust,0.555
atrophy,atrophy,motsewar jiki,disgust,0.555
slayer,mai kisan kai,mai kisan kai,disgust,0.555
segregate,ware,ware,disgust,0.555
odious,m,marar daɗi sosai,disgust,0.555
flabby,flabby,gurun fata,disgust,0.555
beastly,dabbanci,dabbanci,disgust,0.555
threatening,barazana,barazana,disgust,0.555
robbery,fashi,fashi,disgust,0.555
ridicule,ba'a,ba'a,disgust,0.555
distaste,m,rashin jin daɗi,disgust,0.555
wickedness,mugunta,mugunta,disgust,0.555
bloody,na jini,na jini,disgust,0.555
unattractive,maras kyau,maras kyau,disgust,0.555
collusion,hada baki,haɗa baki,disgust,0.555
varicella,varicella,ƙarambau,disgust,0.555
discriminating,nuna bambanci,nuna bambanci,disgust,0.555
attacking,kai hari,dodo,disgust,0.547
vesicular,vesicular,ƙyasbi,disgust,0.547
anathema,tsinema,tsinema,disgust,0.547
malevolent,mugu,mugu,disgust,0.547
thief,barawo,ɓarawo,disgust,0.547
pillage,sacewa,sacewa,disgust,0.547
purgatory,purgatory,azabtarwa,disgust,0.547
burglar,ɓarawo,ɓarawo,disgust,0.547
deleterious,m,mai lalatarwa,disgust,0.547
coercion,tilastawa,tilastawa,disgust,0.547
suffocating,numfashi,numfashi,disgust,0.547
bitterly,m,mai ɗaci,disgust,0.547
slur,slur,maganar wulaƙanci,disgust,0.547
miserable,abin bakin ciki,abin bakin ciki,disgust,0.547
condemnation,hukunci,hukunci,disgust,0.547
sty,salo,salo,disgust,0.547
drunken,mashayi,mashayi,disgust,0.539
liar,makaryaci,maƙaryaci,disgust,0.539
jealous,mai kishi,mai kishi,disgust,0.539
thrash,bugawa,bugawa,disgust,0.539
sloth,rashin hankali,rashin hankali,disgust,0.539
infidelity,kafirci,kafirci,disgust,0.539
pig,alade,alade,disgust,0.539
greedy,mai kwadayi,mai kawaɗayi,disgust,0.539
repudiation,kin amincewa,ƙin amincewa,disgust,0.539
repellant,m,mai korewa,disgust,0.539
fatty,m,mai kitse,disgust,0.539
disgrace,wulakanci,wulaƙanci,disgust,0.539
imprisoned,daure,daure,disgust,0.539
gob,gob,dunƙulewa,disgust,0.539
sneer,zagi,zagi,disgust,0.539
shame,kunya,kunya,disgust,0.539
lethal,m,mai haifar da kisa,disgust,0.536
ruined,lalace,lalace,disgust,0.531
neurotic,neurotic,mai saurin damuwa,disgust,0.531
smuggler,mai fasa -kwauri,mai fasa -kwauri,disgust,0.531
destructive,mai halakarwa,mai halakarwa,disgust,0.531
blemish,lahani,lahani,disgust,0.531
hanging,rataye,rataye,disgust,0.531
intrusive,mai kutsawa,mai kutsawa,disgust,0.531
withered,ya bushe,ya bushe,disgust,0.531
blasphemous,sabo,saɓo,disgust,0.531
lying,ƙarya,ƙarya,disgust,0.531
painful,mai zafi,mai zafi,disgust,0.531
