word,machine,human,label,emotion_intensity_score
birthplace,ibi ibimọ,Ibi ìbímọ,anger,0.051
ribbon,tẹẹrẹ,Tẹ́rẹ́,anger,0.047
vote,dibo,dìbò,anger,0.045
youth,odo,ọ̀dọ́,anger,0.045
cash,owo,owó,anger,0.039
wannasleep,wannasleep,fẹ́ sùn,anger,0.031
waffle,waffle,Ọ̀rọ̀ kátakàta,anger,0.03
dame,dame,adélébọ̀,anger,0.03
buffet,ajekii,àjẹkì,anger,0.029
celebrity,gbajumọ,gbajúmọ̀,anger,0.026
autocorrect,atunṣe ara ẹni,Àtúnṣe ara ẹni,anger,0.015
sisterhood,arabinrin,arábìnrin,anger,0.015
musical,orin,orin,anger,0.011
tree,igi,igi,anger,0.0
excited,yiya,yíyá,anticipation,0.859
anticipation,ifojusona,Ìfojúsọ́nà,anticipation,0.859
excitement,simi,yíyá,anticipation,0.82
anticipate,fokansi,fọkànsí,anticipation,0.82
eagerness,itara,ìtara,anticipation,0.812
exciting,moriwu,móríwú,anticipation,0.797
expectant,reti,retí,anticipation,0.789
thrilling,ojlofọndotenamẹ tọn,wíwúnilórí,anticipation,0.781
hope,ireti,ìrètí,anticipation,0.773
quest,ibere,ìbéèrè,anticipation,0.766
countdown,kika,Kíkà sílẹ̀,anticipation,0.75
anticipatory,ifojusona,Ìfojúsọ́nà,anticipation,0.75
expectance,ireti,ìrètí,anticipation,0.75
start,bẹrẹ,bẹ̀rẹ̀,anticipation,0.75
adventure,ìrìn,ìrìn,anticipation,0.75
eager,ni itara,ní ìtara,anticipation,0.742
climax,ipari,ìparí,anticipation,0.742
arouse,ru soke,ru sókè,anticipation,0.742
excite,ṣojulọyin,ṣojúlóyin,anticipation,0.742
expect,reti,retí,anticipation,0.742
prophecy,asotele,Àsọtẹ́lẹ̀,anticipation,0.742
ejaculation,ejaculation,títọ̀jáde,anticipation,0.734
announcement,ikede,ìkéde,anticipation,0.734
birth,ibimọ,Ìbímọ,anticipation,0.734
imminent,isunmọtosi,Ìsúnmọ́tòsí,anticipation,0.727
urgent,amojuto,kunkun,anticipation,0.727
expecting,n reti,Ń retí,anticipation,0.727
liberation,itusile,Ìtúsílẹ̀,anticipation,0.727
expectancy,ireti,ìrètí,anticipation,0.727
prospection,aisiki,áisìkí,anticipation,0.719
prospect,afojusọna,Àfojúsọ́nà,anticipation,0.719
reunion,itungbepapo,Ìtúngbépapọ̀,anticipation,0.719
aspire,lepa,lépa,anticipation,0.719
voyage,irin -ajo,Ìrìn-àjò,anticipation,0.719
trepidation,iberu,Ìbẹ̀rù,anticipation,0.719
mystery,ohun ijinlẹ,Ohun ìjìnlẹ̀,anticipation,0.711
journey,irin -ajo,Ìrìn-àjò,anticipation,0.711
kiss,fẹnuko,Fẹnukò,anticipation,0.711
yearning,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.711
enthusiasm,itara,ìtara,anticipation,0.711
ecstasy,igbadun,ìgbádùn,anticipation,0.711
suspense,ifura,ìfura,anticipation,0.711
rapture,igbasoke,ìgbàsókè,anticipation,0.711
excitation,simi,inúdídùn,anticipation,0.703
thrill,dani lorun,Dáni lọ́rùn,anticipation,0.703
urgency,ijakadi,ìjàkadì,anticipation,0.703
tantalizing,tankalẹ,Tànkalẹ̀,anticipation,0.703
frantic,alaigbọran,Aláìgbọràn,anticipation,0.703
prospective,ifojusọna,Ìfojúsọ́nà,anticipation,0.703
lottery,lotiri,Lọ́tìrì,anticipation,0.703
progress,itesiwaju,Ìtẹ̀síwájú,anticipation,0.703
hopeful,ireti,ìrètí,anticipation,0.703
destination,nlo,Ibi ìlọ,anticipation,0.703
arrival,dide,dídé,anticipation,0.695
achievement,aseyori,àṣeyọrí,anticipation,0.695
hurry,yara,yára,anticipation,0.695
advance,ilosiwaju,Ìlọsíwájú,anticipation,0.695
explore,ṣawari,ṣàwárí,anticipation,0.695
readiness,imurasilẹ,Ìmúrasílẹ̀,anticipation,0.695
vacation,isinmi,ìsinmi,anticipation,0.695
expectation,ireti,ìrètí,anticipation,0.695
liberate,igbala,ìgbàlà,anticipation,0.695
prediction,asọtẹlẹ,àsọtẹ́lẹ̀,anticipation,0.695
sex,ibalopo,ìbálòpò,anticipation,0.695
approaching,n sunmọ,Ń súnmọ́,anticipation,0.688
ecstatic,inu didun,Inú dídùn,anticipation,0.688
allure,ifaya,ìfàya,anticipation,0.688
roulette,roulette,eré,anticipation,0.68
honeymoon,ijẹfaaji ijẹfaaji tọkọtaya,Ìjẹfàájì tọkọtaya,anticipation,0.68
uprising,uprising,ń dìde sókè,anticipation,0.68
wishful,edun okan,ẹ̀dùn ọkàn,anticipation,0.672
celebrating,ayẹyẹ,ayẹyẹ,anticipation,0.672
holiday,isinmi,ìsinmi,anticipation,0.672
crescendo,crescendo,lílọ sókè,anticipation,0.672
orgasm,itanna,ìtàná,anticipation,0.664
invitation,ifiwepe,ìfìwépè,anticipation,0.664
impending,ti n bọ,Tí ń bọ̀,anticipation,0.664
winning,gba,gba,anticipation,0.664
winnings,winnings,àwọn ẹ̀bùn,anticipation,0.664
craving,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.664
rescue,igbala,ìgbàlà,anticipation,0.664
triumph,isegun,Ìṣẹ́gun,anticipation,0.664
waiting,nduro,ń dúró,anticipation,0.664
courtship,ibaṣepọ,Ìbáṣepọ̀,anticipation,0.656
bridegroom,oko iyawo,ọkọ ìyàwó,anticipation,0.656
gain,jèrè,jèrè,anticipation,0.656
aspiring,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.656
celebration,ajoyo,àjọyọ̀,anticipation,0.656
bridal,iyawo,ìyàwó,anticipation,0.656
jackpot,jackpot,Jèrè púpọ̀,anticipation,0.656
reward,ère,èrè,anticipation,0.656
marriage,igbeyawo,ìgbéyàwó,anticipation,0.656
victory,iṣẹgun,Ìṣẹ́gun,anticipation,0.656
fortune,orire,oríire,anticipation,0.656
strive,gbìyànjú,gbìyànjú,anticipation,0.656
aspiration,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.648
prescient,igba atijọ,Ìgbà àtijọ́,anticipation,0.648
inheritance,ogún,ogún,anticipation,0.648
opportunity,anfani,àǹfàní,anticipation,0.648
delivery,ifijiṣẹ,Ìfijíṣẹ́,anticipation,0.648
alertness,gbigbọn,gbígbọ̀n,anticipation,0.648
treasure,ìṣúra,ìṣúra,anticipation,0.648
tomorrow,ọla,ọ̀la,anticipation,0.648
crowning,ade,adé,anticipation,0.648
intrigue,intrigue,wuni,anticipation,0.648
rising,nyara,n dìde,anticipation,0.648
receiving,gba,ń gbà,anticipation,0.641
bride,iyawo,ìyàwó,anticipation,0.641
celebrated,ṣe ayẹyẹ,ṣe ayẹyẹ,anticipation,0.641
launch,ifilole,Ìfilọ́lẹ̀,anticipation,0.641
engaged,npe,ń pè,anticipation,0.641
possibility,seese,ṣeéṣe,anticipation,0.641
expedition,irin ajo,Ìrìn àjò,anticipation,0.641
spectacular,ti iyanu,ti ìyanu,anticipation,0.641
happiness,idunu,ìdùnú,anticipation,0.641
reckoning,iṣiro,Ìṣìro,anticipation,0.641
prognosis,asọtẹlẹ,Àsọtẹ́lẹ̀,anticipation,0.641
erotic,itagiri,ìtagìrì,anticipation,0.641
revolution,rogbodiyan,rògbòdìyàn,anticipation,0.641
award,eye,ẹ̀yẹ,anticipation,0.641
anxious,aniyan,àníyàn,anticipation,0.641
hype,aruwo,gbé gẹ̀gẹ̀,anticipation,0.641
await,duro,dúró,anticipation,0.633
curious,iyanilenu,Ìyàlẹ́nu,anticipation,0.633
vision,iran,ìran,anticipation,0.633
coming,bọ,Ń bọ̀,anticipation,0.633
birthday,ojo ibi,ọjọ́ ìbí,anticipation,0.633
delight,igbadun,ìgbádùn,anticipation,0.633
beware,kiyesara,kíyèsára,anticipation,0.633
passionate,kepe,fẹ́ púpọ̀,anticipation,0.633
firstborn,akọbi,Àkọ́bí,anticipation,0.633
miracle,iyanu,ìyanu,anticipation,0.633
destiny,ayanmọ,Àyànmọ́,anticipation,0.633
passion,ife gidigidi,Ìfẹ́ gidigidi,anticipation,0.633
prepare,mura,múra,anticipation,0.633
captivate,ṣe ifamọra,ṣe ìfàmọ́ra,anticipation,0.633
graduation,ipari ẹkọ,Ìparí ẹ̀kọ́,anticipation,0.633
ominous,buburu,búburú,anticipation,0.633
succeed,ṣe aṣeyọri,ṣe àṣeyọrí,anticipation,0.633
triumphant,olubori,olúborí,anticipation,0.625
ripen,pọn,Pọ́n,anticipation,0.625
retirement,ifẹhinti lẹnu iṣẹ,Ìfẹ̀hìntì lẹ́nu iṣẹ́,anticipation,0.625
gift,ebun,ẹ̀bùn,anticipation,0.625
optimism,ireti,ìrètí,anticipation,0.625
foresee,foresee,ríran,anticipation,0.625
inspiration,awokose,Àwòkọ́ṣe,anticipation,0.625
revival,isoji,Ìsọjí,anticipation,0.625
lust,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.625
escape,sa,sá,anticipation,0.625
destined,kadara,kádàrá,anticipation,0.617
verge,etibebe,etíbèbè,anticipation,0.617
embrace,gbá mọ́ra,gbá mọ́ra,anticipation,0.617
foresight,awotẹlẹ,Àwòtẹ́lẹ̀,anticipation,0.617
surprisingly,iyalẹnu,Ìyàlẹ́nu,anticipation,0.617
enchanting,enchanting,kì,anticipation,0.617
risky,eewu,ewu,anticipation,0.617
bloom,gbin,rúwé,anticipation,0.617
ambition,okanjuwa,ọ̀kánjúwà,anticipation,0.617
simmering,gbígbóná,gbígbóná,anticipation,0.617
foreboding,foreboding,fífunra,anticipation,0.617
seductive,seductive,Fanimọ́ra,anticipation,0.609
anxiety,aibalẹ,Aìbalẹ̀,anticipation,0.609
magical,idan,idán,anticipation,0.609
bonus,ajeseku,Àjẹṣẹ́kù,anticipation,0.609
lookout,wo ke o,wòkè,anticipation,0.609
alerts,titaniji,títanijí,anticipation,0.609
matrimony,igbeyawo,ìgbéyàwó,anticipation,0.609
succeeding,aṣeyọri,Àṣeyọrí,anticipation,0.609
forecast,asọtẹlẹ,àsọtẹ́lẹ̀,anticipation,0.609
applicant,olubẹwẹ,Olùbẹ̀wẹ̀,anticipation,0.602
winner,olubori,olùborí,anticipation,0.602
deserve,yẹ,yẹ,anticipation,0.602
foreseen,asọtẹlẹ,àsọtẹ́lẹ̀,anticipation,0.602
inspire,imisi,ìmísí,anticipation,0.602
picnic,pikiniki,Ibi ìgbafẹ́,anticipation,0.602
success,aseyori,Àṣeyọrí,anticipation,0.602
nervous,aifọkanbalẹ,Àìfọkànbalẹ̀,anticipation,0.602
visionary,iranran,ìran,anticipation,0.602
entertaining,idanilaraya,ìdánilárayá,anticipation,0.602
longing,npongbe,Ń pòǹgbẹ,anticipation,0.602
diagnosis,okunfa,okùnfà,anticipation,0.602
revenge,igbẹsan,Ìgbẹ̀san,anticipation,0.602
boomerang,boomerang,yíwọ́,anticipation,0.602
prophetic,asotele,àsọtẹ́lẹ̀,anticipation,0.602
fulfillment,imuse,Ìmúṣẹ,anticipation,0.602
intended,ti pinnu,ti pinnu,anticipation,0.602
momentum,ipa,ipa,anticipation,0.594
luck,orire,oríire,anticipation,0.594
illuminate,tan imọlẹ,tàn ìmọ́lẹ̀,anticipation,0.594
arrive,de,dé,anticipation,0.594
romance,fifehan,Fìfẹ́fàn,anticipation,0.594
preparedness,imurasilẹ,Ìmúrasílẹ̀,anticipation,0.594
result,abajade,àbájáde,anticipation,0.594
acquiring,gbigba,gbígbà,anticipation,0.594
accelerate,mu yara,Mú yára,anticipation,0.594
advent,dide,dídé,anticipation,0.594
buzz,ariwo,ariwo,anticipation,0.594
rekindle,rekindle,rusókè,anticipation,0.594
marry,fẹ,Fẹ́,anticipation,0.594
predict,asọtẹlẹ,àsọtẹ́lẹ̀,anticipation,0.589
presumption,aigbekele,Àìgbẹ́kẹ̀lé,anticipation,0.586
money,owo,owó,anticipation,0.586
progression,itesiwaju,Ìtẹ̀síwájú,anticipation,0.586
endeavor,igbiyanju,ìgbìyànjú,anticipation,0.586
investigation,iwadii,ìwádìí,anticipation,0.586
uplift,gbe soke,gbé sókè,anticipation,0.586
impatient,ikanju,ìkánjú,anticipation,0.586
preparation,igbaradi,ìgbáradì,anticipation,0.586
gambling,ayo,tẹ́tẹ́ títa,anticipation,0.586
auspices,auspices,ẹ̀ká,anticipation,0.586
delightful,igbadun,ìgbádùn,anticipation,0.586
overdue,tipẹ,tipẹ́,anticipation,0.586
raffle,raffle,tẹ́tẹ́,anticipation,0.586
flirt,flirt,sàgbèrè,anticipation,0.586
enthusiast,olutayo,Olùtayọ,anticipation,0.586
sequel,atele,Àtẹ̀lé,anticipation,0.586
crave,ifẹkufẹ,Ìfẹ̀kùfẹ́,anticipation,0.586
seek,wá,wá,anticipation,0.586
immerse,rì bọmi,rì bọmi,anticipation,0.586
fiesta,ayẹyẹ,ayẹyẹ,anticipation,0.586
enjoying,igbadun,ìgbádùn,anticipation,0.586
experiment,adanwo,àdánwò,anticipation,0.58
completing,ipari,ìparí,anticipation,0.578
divination,afọṣẹ,àfọ̀ṣẹ,anticipation,0.578
thirst,oungbe,Òùngbẹ,anticipation,0.578
clamor,ariwo,ariwo,anticipation,0.578
angling,angling,wọ́ sẹ́ẹ̀gbẹ́,anticipation,0.578
precarious,precarious,aìríbẹ̀ẹ̀,anticipation,0.578
thriving,ti ndagba,ti ń gbà,anticipation,0.578
transcendence,irekọja,Ìrékọjá,anticipation,0.578
harvest,ikore,ìkórè,anticipation,0.578
heavenly,ọrun,ọ̀run,anticipation,0.578
attainable,de ọdọ,Dé ọ̀dọ̀,anticipation,0.578
remedy,atunse,Àtúnṣe,anticipation,0.578
majestic,ọlanla,ọlánlá,anticipation,0.578
blessing,ibukun,ìbùkún,anticipation,0.578
excavation,excavation,wíwú kúrò,anticipation,0.578
enjoy,gbadun,gbádùn,anticipation,0.578
prosper,ṣe rere,ṣe rere,anticipation,0.578
inviting,pípe,pípè,anticipation,0.578
risk,ewu,ewu,anticipation,0.578
healing,iwosan,ìwòsàn,anticipation,0.578
warned,kilo,Kìlọ̀,anticipation,0.57
gambler,olutayo,Olùtayọ,anticipation,0.57
matchmaker,oluṣeto,Olùṣètò,anticipation,0.57
ultimate,ipari,ìparí,anticipation,0.57
magnificence,titobi,títóbi,anticipation,0.57
finally,nipari,Ní ìparí,anticipation,0.57
omen,asami,àsàmì,anticipation,0.57
sweetheart,ololufe,Olùfẹ́,anticipation,0.57
prospectively,ni ifojusọna,ní ìfojúsọ́nà,anticipation,0.57
restlessness,isinmi,ìsinmi,anticipation,0.57
invite,pe,pè,anticipation,0.57
plan,eto,ètò,anticipation,0.57
dare,agbodo,àgbọdọ̀,anticipation,0.57
emancipation,ominira,Òmìnira,anticipation,0.57
intimate,timotimo,Tímọ́tímọ́,anticipation,0.57
tease,yọ lẹnu,Yọ lẹ́nu,anticipation,0.57
zest,zest,agbára,anticipation,0.57
festival,ajọdun,Àjọ̀dún,anticipation,0.562
immortality,àìkú,àìkú,anticipation,0.562
hypothesis,idawọle,Ìdáwọ́lé,anticipation,0.562
predilection,predilection,fífẹ́ràn,anticipation,0.562
parade,Itolẹsẹ,Ìtòlẹ́sẹ̀,anticipation,0.562
trophy,olowoiyebiye,ife,anticipation,0.562
expected,ti ṣe yẹ,retí,anticipation,0.562
champion,asiwaju,asíwájú,anticipation,0.562
exalt,gbega,gbéga,anticipation,0.562
independence,ominira,òmìnira,anticipation,0.562
accolade,iyin,ìyìn,anticipation,0.562
fun,fun,eré,anticipation,0.562
forewarned,ti kilọ,ti kìlọ̀,anticipation,0.562
fanfare,iferan,Ìfẹ́ràn,anticipation,0.562
rejoice,yọ,yọ̀,anticipation,0.562
mysterious,ohun ijinlẹ,ohun ìjìnlẹ̀,anticipation,0.562
quicken,yára,yára,anticipation,0.562
enchant,enchant,sà,anticipation,0.562
lover,ololufe,Olùfẹ́,anticipation,0.562
attempt,igbiyanju,Ìgbìyànjú,anticipation,0.562
expose,fi han,fi hàn,anticipation,0.562
boisterous,ariwo,ariwo,anticipation,0.555
curiosity,iwariiri,ìwárìrì,anticipation,0.555
uneasiness,aibanujẹ,Àìbanújẹ́,anticipation,0.555
speculative,awotẹlẹ,Àwòtẹ́lẹ̀,anticipation,0.555
feeling,rilara,Ìmọ̀,anticipation,0.555
splendor,ẹwa,ẹwà,anticipation,0.555
shopping,ohun tio wa,ríra ǹkan,anticipation,0.555
salvation,igbala,ìgbàlà,anticipation,0.555
happy,dun,dùn,anticipation,0.555
rejoicing,yọ,yọ̀,anticipation,0.555
oracle,ororo,òrìsà,anticipation,0.555
heroism,akọni,akọni,anticipation,0.555
fate,ayanmọ,Àyànmọ́,anticipation,0.555
lovely,ẹlẹwà,ẹlẹ́wà,anticipation,0.555
amour,amour,Ìhámọ́ra,anticipation,0.555
grasping,mimu,mímu,anticipation,0.555
liberty,ominira,òmìnira,anticipation,0.555
unfold,ṣii,ṣí,anticipation,0.555
grow,dagba,dàgbà,anticipation,0.555
convergence,idapọ,Ìdàpọ̀,anticipation,0.547
warn,kilọ,Kìlọ̀,anticipation,0.547
morrow,ọla,ọ̀la,anticipation,0.547
sorcery,oṣó,oṣó,anticipation,0.547
incite,ru,rú,anticipation,0.547
bountiful,lọpọlọpọ,lọ́pọ̀lọpọ̀,anticipation,0.547
recreational,ìdárayá,ìdárayá,anticipation,0.547
changeable,iyipada,Ìyípadà,anticipation,0.547
apprehensive,ifura,ìfura,anticipation,0.547
leisure,fàájì,fàájì,anticipation,0.547
delighted,Inudidun,inúdídùn,anticipation,0.547
suspicious,ifura,ìfura,anticipation,0.547
glory,ogo,ògo,anticipation,0.547
probability,iṣeeṣe,Ìṣeéṣe,anticipation,0.547
glimmer,glimmer,dán gbinrin,anticipation,0.547
abundance,opo,ọ̀pọ̀,anticipation,0.547
pray,gbadura,gbàdúrà,anticipation,0.547
agape,agape,ìfẹ́ àìsẹ̀tàn,anticipation,0.547
vote,dibo,dìbò,anticipation,0.547
resultant,abajade,àbájáde,anticipation,0.547
hungry,ebi npa,ebi ń pa,anticipation,0.547
monetary,owo,ní ti owó,anticipation,0.547
sensual,ifẹkufẹ,Ìfẹkúfẹ̀,anticipation,0.539
bounty,oore -ofe,Oore-ọ̀fẹ́,anticipation,0.539
contingent,airotele,Àìròtẹ́lẹ̀,anticipation,0.539
hunting,sode,sóde,anticipation,0.539
blessings,ibukun,ìbùkún,anticipation,0.539
entertainment,idanilaraya,ìdánilárayá,anticipation,0.539
merge,dapọ,Dàpọ̀,anticipation,0.539
ballot,iwe idibo,Ìwé ìdìbò,anticipation,0.539
grandchildren,awon omo omo,Àwọn ọmọ ọmọ,anticipation,0.539
tempest,iji,ìjì,anticipation,0.539
auction,titaja,títajà,anticipation,0.539
worrying,idaamu,ìdàmú,anticipation,0.539
inquiry,ibeere,ìbéèrè,anticipation,0.539
vindication,idalare,ìdáláre,anticipation,0.539
exceed,kọja,Kọjá,anticipation,0.539
hankering,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.539
glad,dun,dùn,anticipation,0.536
spirits,awọn ẹmi,Àwọn ẹ̀mí,anticipation,0.531
dread,ibẹru,Ìbẹ̀rù,anticipation,0.531
forming,lara,lára,anticipation,0.531
hurried,yara,yára,anticipation,0.531
magnificent,nkanigbega,Ǹkan ìgbéga,anticipation,0.531
feat,feat,àyè,anticipation,0.531
stealthy,olè jíjà,olè jíjà,anticipation,0.531
virginity,wundia,wúndíá,anticipation,0.531
celestial,ọrun,ọ̀run,anticipation,0.531
cheer,idunnu,ìdùnú,anticipation,0.531
betrothed,iyawo,ìyàwó,anticipation,0.531
deliverance,itusile,Ìtúsílẹ̀,anticipation,0.531
raving,raving,Ọ̀rọ̀ ìsọkúsọ,anticipation,0.531
overthrow,bì ṣubu,Bì ṣubú,anticipation,0.531
visitor,alejo,àlejò,anticipation,0.531
harbinger,agbẹnusọ,agbẹnusọ,anticipation,0.531
appeal,afilọ,Àfilọ̀,anticipation,0.531
responsive,idahun,ìdáhùn,anticipation,0.531
prevail,bori,borí,anticipation,0.523
cheery,idunnu,ìdùnú,anticipation,0.523
competition,idije,ìdíje,anticipation,0.523
beaming,tan ina,Tan iná,anticipation,0.523
ultimately,ni ipari,Ní ìparí,anticipation,0.523
child,ọmọ,ọmọ,anticipation,0.523
revive,sọji,Sọjí,anticipation,0.523
pleasant,dídùn,dídùn,anticipation,0.523
notification,iwifunni,ìwífúnni,anticipation,0.523
preparatory,igbaradi,ìgbáradì,anticipation,0.523
planning,igbogun,Ìṣètò,anticipation,0.523
germination,dagba,dàgbà,anticipation,0.523
wait,duro,dúró,anticipation,0.523
watch,wo,wò,anticipation,0.523
importance,pataki,pàtàkì,anticipation,0.523
prognostic,asọtẹlẹ,àsọtẹ́lẹ̀,anticipation,0.523
hunter,ọdẹ,ọdẹ,anticipation,0.523
explosive,ibẹjadi,Ìbẹ́jádè,anticipation,0.523
radiance,itanna,ìtànná,anticipation,0.523
haste,kánkán,kánkán,anticipation,0.523
prophet,woli,wòlíì,anticipation,0.523
salary,owo osu,Owó osù,anticipation,0.516
caution,iṣọra,Ìṣọ́ra,anticipation,0.516
loom,loom,wù jáde,anticipation,0.516
time,aago,ago,anticipation,0.516
owing,nitori,nítorí,anticipation,0.516
chocolate,chocolate,ṣokoléètì,anticipation,0.516
uncontrollable,ti ko ni idari,Tí kò ní ìdarí,anticipation,0.516
celebrity,gbajumọ,gbajúmọ̀,anticipation,0.516
begun,Bere,Bẹ̀rẹ̀,anticipation,0.516
sensuality,ifẹkufẹ,Ìfẹ́kúfẹ̀,anticipation,0.516
precious,iyebiye,iyebíye,anticipation,0.516
fermentation,bakteria,kíkan,anticipation,0.516
compensate,isanpada,ìsanpadà,anticipation,0.516
renovation,atunse,Àtúnṣe,anticipation,0.516
present,wa,wà,anticipation,0.516
recreation,ere idaraya,Eré ìdárayá,anticipation,0.516
treat,toju,tójú,anticipation,0.516
endanger,ewu,ewu,anticipation,0.516
infant,ìkókó,ìkókó,anticipation,0.508
commemoration,iranti,ìrántí,anticipation,0.508
exigent,exigent,ríretí,anticipation,0.508
practise,adaṣe,Àdáṣe,anticipation,0.508
transitional,iyipada,ìyípadà,anticipation,0.508
dreadful,adẹtẹ,Ìbẹ̀rù,anticipation,0.508
vigilance,gbigbọn,Síṣọ́ra,anticipation,0.508
elevation,igbega,ìgbéga,anticipation,0.508
signify,fowo si,Fọwọ́sí,anticipation,0.508
perfection,pipé,pípé,anticipation,0.508
cultivate,gbin,gbìn,anticipation,0.508
intermission,ifasimu,ìfàsímú,anticipation,0.508
contemplation,iṣaro,Ìṣàárò,anticipation,0.508
horizon,ipade,ìpàdé,anticipation,0.508
prerequisite,pataki ṣaaju,Pàtàkì sáájú,anticipation,0.508
wilderness,aginjù,aginjù,anticipation,0.508
cue,ifẹkufẹ,Ìfẹ́kùfẹ́,anticipation,0.508
develop,dagbasoke,dàgbàsókè,anticipation,0.508
income,owo oya,Owó osù,anticipation,0.5
blindfold,bojú,bojú,anticipation,0.5
reconciliation,ilaja,ìlàjà,anticipation,0.5
litigate,ẹjọ,ẹjọ́,anticipation,0.5
puppy,ọmọ aja,ọmọ ajá,anticipation,0.5
intuitively,ogbon inu,ọgbọ́n inú,anticipation,0.5
airport,papa ọkọ ofurufu,Pápá ọkọ̀ òfurufú,anticipation,0.5
unbridled,unbridled,láìdákẹ́,anticipation,0.5
sunny,oorun,oòrùn,anticipation,0.5
doomsday,ọjọ iparun,ọjọ́ ìparun,anticipation,0.5
advocacy,agbawi,àgbàwi,anticipation,0.5
uphill,oke,òkè,anticipation,0.5
calculation,iṣiro,Ìṣirò,anticipation,0.5
romantic,ifẹ,Ìfẹ́,anticipation,0.5
eventuality,iṣẹlẹ,Ìṣẹ̀lẹ̀,anticipation,0.5
depart,lọ,lọ,anticipation,0.5
utopian,utopian,Ìgbà pípé,anticipation,0.5
zeal,ìtara,ìtara,anticipation,0.5
undisclosed,airi,àìrí,anticipation,0.5
swim,we,wẹ̀,anticipation,0.5
favorable,ọjo,fọwọ́sí,anticipation,0.5
sneaking,yiyalo,yíyálò,anticipation,0.5
peril,ewu,ewu,anticipation,0.5
ardent,olufokansin,Olùfọkànsìn,anticipation,0.5
horoscope,horoscope,Sọtẹ́lẹ̀,anticipation,0.5
invocation,epe,èpè,anticipation,0.5
hero,akoni,Akọni,anticipation,0.5
ready,setan,ṣetán,anticipation,0.5
commemorate,ṣe iranti,ṣe ìrántí,anticipation,0.5
nascent,ọmọ tuntun,ọmọ tuntun,anticipation,0.5
attendance,wiwa,wíwá,anticipation,0.5
inauguration,ifilọlẹ,Ìfilọ́lẹ̀,anticipation,0.492
repay,san pada,San padà,anticipation,0.492
court,kootu,kóòtù,anticipation,0.492
restorative,atunse,Àtúnṣe,anticipation,0.492
improvise,improvise,wá ọ̀nà míràn,anticipation,0.492
perspective,irisi,ìrísí,anticipation,0.492
defense,olugbeja,olùgbèjà,anticipation,0.492
bless,bukun,bùkún,anticipation,0.492
worry,dààmú,dàmú,anticipation,0.492
parole,parole,ìdásílẹ̀,anticipation,0.492
consequent,abajade,àbájáde,anticipation,0.492
youth,odo,ọ̀dọ́,anticipation,0.492
gaping,gaping,Sí kalẹ̀,anticipation,0.492
eventual,iṣẹlẹ,Ìṣẹ̀lẹ̀,anticipation,0.492
undertaking,iṣẹ ṣiṣe,Iṣẹ́ ṣíṣe,anticipation,0.492
heyday,ojo nla,ìkíni,anticipation,0.492
proceeding,ilọsiwaju,Ìlọsíwájú,anticipation,0.492
highest,ti o ga julọ,Tí ó ga jùlọ,anticipation,0.491
contagion,itankale,Ìtànkálẹ̀,anticipation,0.484
auspicious,rere,rere,anticipation,0.484
tremor,iwariri,ìwárìrì,anticipation,0.484
sharpen,pọn,Pọ́n,anticipation,0.484
letter,lẹta,lẹ́tà,anticipation,0.484
vow,ẹjẹ,ẹ̀jẹ́,anticipation,0.484
correspondence,ifọrọranṣẹ,Ìfọ̀rọránsẹ́,anticipation,0.484
shortly,laipẹ,Láìpẹ́,anticipation,0.484
happen,ṣẹlẹ,ṣẹlẹ̀,anticipation,0.484
duel,ija ogun,Ìja ogun,anticipation,0.484
god,ọlọrun,ọlọ́run,anticipation,0.484
engulf,bo,bò,anticipation,0.484
conjure,conjure,sàsí,anticipation,0.484
sparkle,danu,dànù,anticipation,0.484
threaten,halẹ,halẹ̀,anticipation,0.484
generosity,ilawo,Ìlawọ́,anticipation,0.484
voluptuous,atinuwa,àtinúwá,anticipation,0.484
unexplained,ti ko ṣe alaye,Tí kò ṣe àlàyé,anticipation,0.484
princely,ọmọ -alade,ọmọ aládé,anticipation,0.484
arbitration,idajọ,Ìdájọ́,anticipation,0.477
clue,olobo,àmì,anticipation,0.477
recipient,olugba,olùgbà,anticipation,0.477
gravitate,gravitate,gbẹ́nulé,anticipation,0.477
medal,medal,Àmì ẹ̀yẹ,anticipation,0.477
perilous,ewu,ewu,anticipation,0.477
accompaniment,ifowosowopo,Ìfọwọ́sowọ́pọ̀,anticipation,0.477
glow,tàn,tàn,anticipation,0.477
torture,ìdálóró,ìdálóró,anticipation,0.477
glorify,yin ogo,Yin ògo,anticipation,0.477
submit,tẹriba,Tẹríba,anticipation,0.477
powerful,alagbara,alágbára,anticipation,0.477
determinate,pinnu,pinnu,anticipation,0.477
unification,isọdọkan,Ìsọdọ̀kan,anticipation,0.477
glide,rọra,rọra,anticipation,0.477
enroll,forukọsilẹ,Forúkọsílẹ̀,anticipation,0.477
onset,ibẹrẹ,Ìbẹ̀rẹ̀,anticipation,0.477
adore,fẹran,Fẹ́ràn,anticipation,0.477
contemplate,ronú,ronú,anticipation,0.477
cherish,nifẹẹ,Ní ìfẹ́,anticipation,0.477
