word,machine_translation,human_translation,machine_translation_updated
eminence,olokiki,,olokiki
robs,jija,jalè,jalè
refine,liti,yọ eri kuro,yọ eri kuro
chicane,chicane,borí,borí
effective,doko,lagbara,lagbara
paragon,paragon,opagun,opagun
gouge,gouge,ẹsẹ̀-wíwú,ẹsẹ̀-wíwú
wack,wack,aláriwo,aláriwo
devoid,alaini,ṣàìní,ṣàìní
tyrannical,alagidi,ìwa ipá,ìwa ipá
pep,pep,ro lagbara,ro lagbara
inessential,inessential,tí kò ṣe pàtàkì,tí kò ṣe pàtàkì
economical,ti ọrọ -aje,,ti ọrọ -aje
prime,nomba,dara púpọ,dara púpọ
appreciation,riri,imọrírì,imọrírì
academy,ijinlẹ,,ijinlẹ
manipulation,ifọwọyi,ìfọwọ́yí,ìfọwọ́yí
discreet,olóye,gbọn,gbọn
practice,adaṣe,,adaṣe
steep,ga,jinlẹ̀,jinlẹ̀
inquisition,ibeere,ìbéèrè,ìbéèrè
fragile,ẹlẹgẹ,ẹlẹgẹ́,ẹlẹgẹ́
amity,amity,Ibasepo ọrẹ,Ibasepo ọrẹ
flaws,awọn abawọn,àwọn àbàwọ́n,àwọn àbàwọ́n
oddest,oddest,ṣàjèjì jùlọ,ṣàjèjì jùlọ
twist,lilọ,ìlọ́pọ̀,ìlọ́pọ̀
marked,samisi,,samisi
devour,jẹun,jẹrun,jẹrun
ardor,ardor,itara,itara
helping,ran,n para,n para
sugar-coated,ti a bo suga,ẹ̀lẹnu dídùn,ẹ̀lẹnu dídùn
curious,iyanilenu,,iyanilenu
ambivalent,ambivalent,àìdánilójú,àìdánilójú
grant,fifunni,,fifunni
perturb,perturb,dà láàmú,dà láàmú
jagged,dòjé,ègé,ègé
unproves,unproves,àìnídànilójú,àìnídànilójú
lofty,ga,gíga,gíga
frighteningly,dẹruba,dẹ́rùbà,dẹ́rùbà
worrisome,aibalẹ,àìbalẹ̀ ọkàn,àìbalẹ̀ ọkàn
starry,irawọ,,irawọ
mourns,ṣọfọ,ṣọ̀fọ̀,ṣọ̀fọ̀
exagerate,exagerate,sàsọdùn,sàsọdùn
aggravates,aggravates,mú pọ̀si,mú pọ̀si
over-acted,lori-sise,àṣejù,àṣejù
spellbindingly,lọkọọkan,fi edi mu,fi edi mu
punishes,fi ìyà jẹ,fi ìyà jẹ,fi ìyà jẹ
overbearing,apọju,ajẹgàba,ajẹgàba
ingenuity,ọgbọn,,ọgbọn
effortless,akitiyan,lai se akitiyan,lai se akitiyan
nursery,nọsìrì,,nọsìrì
n00b,n00b,n00b,n00b
wrangling,jijakadi,àríyànjiyàn,àríyànjiyàn
torn,ya,ya,ya
adrift,adrift,ìsúnkiri,ìsúnkiri
reliance,igbekele,,igbekele
warm,loworo,,loworo
ingenious,ọlọgbọn,,ọlọgbọn
population,olugbe,,olugbe
travesties,travesties,ayédèrú,ayédèrú
suffocate,imukuro,ṣé ẹ̀mí pa,ṣé ẹ̀mí pa
simplify,rọrun,,rọrun
disagreeable,aiyedeede,àìyedè,àìyedè
homage,ibowo,,ibowo
raucous,alaigbọran,ariwo,ariwo
delighting,igbadun,Inudidun,Inudidun
smother,yiya,fínpa,fínpa
velvet,felifeti,aṣọ arán,aṣọ arán
contradiction,ilodi,ìlòdì,ìlòdì
unsympathetic,alaaanu,àìláànú,àìláànú
trig,trig,mọ́,mọ́
invaluablely,ti koṣe,iyebiye,iyebiye
pessimist,pessimist,oníjàkulẹ̀,oníjàkulẹ̀
disingenuously,alaigbọran,àìsòótọ́,àìsòótọ́
boast,ṣogo,,ṣogo
cramped,híhá,híhá,híhá
airs,afẹfẹ,afẹ́fẹ́,afẹ́fẹ́
undisputably,undisputably,dajudaju,dajudaju
once-in-a-lifetime,lẹẹkan-ni-igbesi aye,,lẹẹkan-ni-igbesi aye
rejected,kọ,kọ̀,kọ̀
comely,ẹlẹwa,,ẹlẹwa
funky,funky,to níjó,to níjó
degeneration,idibajẹ,ìdíbàjẹ́,ìdíbàjẹ́
cringes,cringes,kígbe,kígbe
prospects,asesewa,afojusọna,afojusọna
immorally,alaimọ,aláìmọ́,aláìmọ́
arcane,arcane,ìyanu,ìyanu
emeritus,emeritus,oyè ilé ẹ̀kọ́ gíga,oyè ilé ẹ̀kọ́ gíga
aspiring,ifẹkufẹ,lepa,lepa
resolute,ipinnu,,ipinnu
grieved,banuje,banújẹ́,banújẹ́
pricier,iye owo,gbówó lórí,gbówó lórí
undermine,dojuti,dojuti,dojuti
stormy,iji,ìjì,ìjì
disqualified,iwakọ,iwakọ,iwakọ
gullible,tànjẹ,agọ̀,agọ̀
flakey,flakey,àìlèfọkàntán,àìlèfọkàntán
ergonomical,ergonomical,dara,dara
hideously,hideously,ìtìjú,ìtìjú
exposing,ṣiṣafihan,ṣíṣá fihan,ṣíṣá fihan
magnificently,lọpọlọpọ,,lọpọlọpọ
cooperating,ifowosowopo,,ifowosowopo
contact,olubasọrọ,,olubasọrọ
tower,ile -iṣọ,,ile -iṣọ
mordant,mordant,èkíkan,èkíkan
sufficiently,to,,to
exhort,iyanju,ìyànjú,ìyànjú
neurotic,neurotic,àìfarabalẹ̀,àìfarabalẹ̀
knotted,sorapo,sorapọ̀,sorapọ̀
irritating,hihun,ìríra,ìríra
asset,dukia,ohun ini,ohun ini
uptight,uptight,há gágá,há gágá
stringent,lile,lílé,lílé
pitifully,laanu,ìkáàánú,ìkáàánú
opium,opium,ògun-olóró,ògun-olóró
vaccine,ajesara,,ajesara
hopefully,nireti,,nireti
growing,dagba,,dagba
manners,iwa,,iwa
averts,averts,dènà,dènà
acrimony,acrimony,korò,korò
probity,iṣeeṣe,olotọ,olotọ
tranquility,ifokanbale,,ifokanbale
blockade,ìdènà,ìdènà,ìdènà
flop,flop,kùnà,kùnà
fierce,imuna,burú jáì,burú jáì
desert,aṣálẹ̀,aṣálẹ̀,aṣálẹ̀
absolute,pipe,,pipe
ill,aisan,àìsàn,àìsàn
offend,ṣẹ,ṣẹ́,ṣẹ́
aloha,alaafia,ẹpẹ̀lẹ́ oo,ẹpẹ̀lẹ́ oo
lewd,ifẹkufẹ,ìfẹ́kúfẹẹ,ìfẹ́kúfẹẹ
hardened,àiya,lílé àyà,lílé àyà
lint,lint,aṣọ-egbò,aṣọ-egbò
calumnies,awọn akole,ìbánilórúkọjẹ́,ìbánilórúkọjẹ́
spent,lo,ná,ná
exceptional,alailẹgbẹ,lailẹgbẹ,lailẹgbẹ
unconvinced,ti ko ni idaniloju,tí kò ní ìdánilójú,tí kò ní ìdánilójú
admires,admires,fẹ,fẹ
tenable,tenable,gbigba,gbigba
precede,ṣaaju,,ṣaaju
bodyguard,oluṣọ,,oluṣọ
abortion,iṣẹyun,ìṣẹ́yún,ìṣẹ́yún
commit,dá,,dá
sewage,omi idọti,omi-ìdọ̀tí,omi-ìdọ̀tí
humerous,humerous,arin takiti,arin takiti
debt,gbese,gbèsè,gbèsè
herbal,egboigi,,egboigi
journey,irin -ajo,,irin -ajo
rusts,rusts,dógùn-ún,dógùn-ún
contrary,ilodi si,lòdìsí,lòdìsí
incendiary,arannilọwọ,lè fa ìjà,lè fa ìjà
not good,ko dara,kò dára,kò dára
hasty,kánkán,kánkán,kánkán
sweet,dun,,dun
collectively,lapapo,,lapapo
discarded,asonu,asọnù,asọnù
hissed,gbó,pa òṣé,pa òṣé
inaccurately,aiṣedeede,àìṣedéédé,àìṣedéédé
teens,awon odo,àwon-ọ̀dọ́,àwon-ọ̀dọ́
smoke,ẹfin,èéfín,èéfín
damages,awọn bibajẹ,àwọn bíbàmí,àwọn bíbàmí
virtue,iwa rere,,iwa rere
unequal,aiṣedeede,àìdọ́gba,àìdọ́gba
join,darapo,,darapo
lackeys,awọn ọlẹ,àwọn ọmọ-ọ̀dọ̀ ọkùnrin,àwọn ọmọ-ọ̀dọ̀ ọkùnrin
procrastination,idaduro,ìsúnsíwájú,ìsúnsíwájú
rage,ibinu,ìbínú,ìbínú
wripping,wripping,ìbálópò,ìbálópò
escalate,pọ si,lékún,lékún
condemned,da lẹbi,dá lẹ́bi,dá lẹ́bi
hostile,alatako,alatako,alatako
accomodative,ibugbe,se gbe,se gbe
hopelessly,ireti,àìnírètí,àìnírètí
commiserate,commiserate,kẹ́dùn,kẹ́dùn
shocked,iyalẹnu,ìyàlẹ́nu,ìyàlẹ́nu
flareup,flareup,gbóná,gbóná
zealots,awon ologbon,àwọn onítara,àwọn onítara
prosecuted,ẹjọ,ẹjọ́,ẹjọ́
cardiomyopathy,cardiomyopathy,ààrun-ọkàn,ààrun-ọkàn
epilepsy,warapa,wárápá,wárápá
amicability,alaafia,,alaafia
console,console,ba kedun,ba kedun
drowned,rì,rì,rì
apprehensively,ni itara,ní ìtara,ní ìtara
splitting,yapa,yapa,yapa
fascinated,fanimọra,,fanimọra
stigma,àbùkù,àbùkù,àbùkù
edification,atunse,,atunse
stainless,irin alagbara,,irin alagbara
groundbreaking,ti ilẹ,titun,titun
chintzy,chintzy,aláràǹbarà,aláràǹbarà
crucifixion,agbelebu,kàmnọ́-àgbélèbú,kàmnọ́-àgbélèbú
antibiotics,egboogi,,egboogi
grotesque,ẹlẹgẹ,ẹlẹgẹ́,ẹlẹgẹ́
rageful,ibinu,ìbínú,ìbínú
subsidizing,iranlowo,,iranlowo
greenwashers,awọn agbẹ alawọ ewe,àwọn àgbẹ̀ aláwọ̀ ewé,àwọn àgbẹ̀ aláwọ̀ ewé
mysteriously,ohun ijinlẹ,àràmàǹdà,àràmàǹdà
hater,korira,akórìíra,akórìíra
fanatically,fanatically,ìgbónára,ìgbónára
forte,agbara,nkan to tayo ni,nkan to tayo ni
smoothes,didan,,didan
bothering,idaamu,ìdààmú,ìdààmú
haplessness,ailagbara,aláìní ìṣúra,aláìní ìṣúra
strongest,alagbara julọ,,alagbara julọ
blinding,afọju,afọ́jú,afọ́jú
attorney,agbẹjọro,,agbẹjọro
fortunately,da,pẹlu orire,pẹlu orire
tobacco,taba,tábà,tábà
firmer,ṣinṣin,,ṣinṣin
dizziness,dizziness,òyì,òyì
lifesaver,igbala,,igbala
handy,ni ọwọ,,ni ọwọ
reconstruct,atunkọ,,atunkọ
gripe,gripe,ṣàròyé,ṣàròyé
annihilation,ìparun,ìparun,ìparun
scapegoats,awọn apanirun,àfijófin,àfijófin
cooperate,fọwọsowọpọ,,fọwọsowọpọ
admonished,gbaniran,gbà ní mọ̀ràn,gbà ní mọ̀ràn
terrorizes,ẹru,dẹ́rùbà,dẹ́rùbà
tanned,tanned,fi orun jo,fi orun jo
fresher,titun,,titun
elders,awon agba,,awon agba
wretch,ibanuje,òṣì,òṣì
excel,tayo,,tayo
dependably,ti o gbẹkẹle,,ti o gbẹkẹle
grossly,lasan,lásán,lásán
scorpion,ak sck.,àkékèé,àkékèé
advance,ilosiwaju,,ilosiwaju
subvert,yiyipada,yíyí padà,yíyí padà
troublesomely,wahala,níyọnu,níyọnu
brashly,brashly,àìbìkítà,àìbìkítà
ill-used,ilokulo,ìlòkulò,ìlòkulò
gear,jia,,jia
exchange,paṣipaarọ,,paṣipaarọ
words,awọn ọrọ,ọ̀rọ̀,ọ̀rọ̀
slush,slush,òjò,òjò
appalling,ibanuje,ìbànújẹ́,ìbànújẹ́
plagiarize,plagiarize,Jíkọ,Jíkọ
forswear,aṣọ asọ,ìbúra èké,ìbúra èké
hollow,ṣofo,ṣófo,ṣófo
tale,itan,,itan
immorality,ìṣekúṣe,ìṣekúṣe,ìṣekúṣe
solved,yanju,,yanju
hard-liner,lile-ikan,olórí kunkun,olórí kunkun
phantom,Phantom,iwin,iwin
paradox,paradox,àrékérekè,àrékérekè
imperil,imperil,ìjàmbá,ìjàmbá
daemon,daemon,iwin,iwin
adviser,onimọran,,onimọran
flourish,gbilẹ,,gbilẹ
accomplishment,aṣepari,,aṣepari
relinquish,fi silẹ,fisílẹ̀,fisílẹ̀
shove,gbon,tì-síwájú,tì-síwájú
interruption,idalọwọduro,ìdálọ́wọ́dúró,ìdálọ́wọ́dúró
ruinous,iparun,ìparun,ìparun
insulted,ẹgan,ẹ̀gàn,ẹ̀gàn
egotistically,alaragbayida,aláràgbàyídá,aláràgbàyídá
horrifies,horrifies,léwu,léwu
cringed,cringed,kígbe,kígbe
insincerely,tọkàntọkàn,àìṣòótọ́,àìṣòótọ́
languorously,lilu,rọ,rọ
abolish,parun,parun,parun
distracting,distracting,dà láàmú,dà láàmú
offhand,offhand,láìmúrasílẹ̀,láìmúrasílẹ̀
infatuation,ìfẹ́kúfẹ̀ẹ́,,ìfẹ́kúfẹ̀ẹ́
shiver,gbigbọn,gbígbọ̀n,gbígbọ̀n
muscular,iṣan,,iṣan
bewilderingly,iyalẹnu,ìyàlẹ́nu,ìyàlẹ́nu
intrigues,intrigues,rikisi,rikisi
uncompetitive,idije,aláìlẹ́gbẹ́,aláìlẹ́gbẹ́
astonished,iyalẹnu,yanilẹnu,yanilẹnu
cruel,ìka,ìkà,ìkà
messy,idoti,dọ̀tí,dọ̀tí
fractious,fractious,ìjọ̀gbọ̀n,ìjọ̀gbọ̀n
absolve,dariji,,dariji
stocks,ọjà,owó-ìpìlẹ̀,owó-ìpìlẹ̀
considerate,agbatẹniro,,agbatẹniro
confession,ijewo,ìjẹ́wọ́,ìjẹ́wọ́
undermined,ti bajẹ,ti bajẹ,ti bajẹ
operatic,operatic,eré-olórin,eré-olórin
tenacious,tenacious,iduroṣiṣin,iduroṣiṣin
infinity,ailopin,,ailopin
beautiful,lẹwa,,lẹwa
enthusiasm,itara,,itara
badly,buburu,búburú,búburú
overthrows,bì ṣubu,bì ṣubú,bì ṣubú
segregate,lọtọ,yàsọ́tọ̀,yàsọ́tọ̀
bankruptcy,gbese,gbèsè,gbèsè
mime,mime,fẹ-jọ orin,fẹ-jọ orin
praises,iyin,,iyin
lost,sọnu,sọnù,sọnù
prize,joju,,joju
hail,yinyin,gbóríyìn,gbóríyìn
liked,feran,,feran
fallible,isubu,ṣàṣìṣe,ṣàṣìṣe
disastrous,ajalu,àjálù,àjálù
affirmative,affirmative,ìtẹnumọ́,ìtẹnumọ́
hospitable,aájò àlejò,,aájò àlejò
playfully,playfully,ere,ere
bard,bard,akewi,akewi
inopportune,aiṣedeede,kò dára tó,kò dára tó
rigid,kosemi,le,le
slumping,sisun,sí ṣubú,sí ṣubú
howl,hu,ké,ké
savages,awọn onibajẹ,àwọn oníbàjẹ́,àwọn oníbàjẹ́
misbecoming,aiṣedeede,àìbámu,àìbámu
ungovernable,alaiṣakoso,àìlèṣàkóso,àìlèṣàkóso
barbarously,lasan,aláìlóye,aláìlóye
unresponsive,alaigbọran,àìdáhùn,àìdáhùn
indictment,ẹsun,ìfisùn,ìfisùn
sinking,rì,rì,rì
irritable,irritable,ìkórìíra,ìkórìíra
pathetic,ìbànújẹ́,ógbẹnután,ógbẹnután
replete,kun,kun pada,kun pada
slash,din ku,gé kúrú,gé kúrú
disarray,disarray,ìdààmú,ìdààmú
launch,ifilole,,ifilole
delusion,etan,ẹ̀tàn,ẹ̀tàn
contempt,ẹgan,ẹ̀gàn,ẹ̀gàn
cytomegalovirus,cytomegalovirus,kòkòrò-ààrun-hóró,kòkòrò-ààrun-hóró
hunting,sode,ìdọdẹ,ìdọdẹ
occluding,occlusion,ń dí,ń dí
ill-treatment,itọju aiṣedede,ìlòkulò,ìlòkulò
abrogate,fagilee,fagilé,fagilé
owing,nitori,jẹgbèsè,jẹgbèsè
rotten,rotten,ti kẹ̀,ti kẹ̀
agonized,irora,irora,irora
boisterous,ariwo,npariwo lile,npariwo lile
marvel,iyanu,,iyanu
dwarfed,arara,aràrá,aràrá
mother,iya,ìyá,ìyá
uninsured,ti ko ni iṣeduro,àìníṣùra,àìníṣùra
flustered,flustered,ìpayà,ìpayà
pornography,iwokuwo,eré-ìbálópọ̀,eré-ìbálópọ̀
mistress,oluwa,Olúwa,Olúwa
lyre,lyre,ohun-elo orin,ohun-elo orin
scandal,sikandali,ìbanilọ́kọjẹ́,ìbanilọ́kọjẹ́
pleasure,igbadun,,igbadun
licentiously,laiseniyan,aláìfiyèsí òfin,aláìfiyèsí òfin
torturously,torturously,ìdálóró,ìdálóró
help,Egba Mi O,ranlọwọ,ranlọwọ
fallow,ṣubu,ilẹ̀-oko,ilẹ̀-oko
doodle,doodle,ìyàwòrán,ìyàwòrán
simpler,rọrun,,rọrun
torrid,torrid,gbóná,gbóná
pioneer,aṣáájú -ọ̀nà,,aṣáájú -ọ̀nà
inexperienced,alaini iriri,aláìní ìrírí,aláìní ìrírí
interminable,interminable,láìlópin,láìlópin
imprecisely,lọna aitọ,àìṣedéédé,àìṣedéédé
rollercoaster,rola kosita,onírúurú,onírúurú
reversal,ifaseyin,ìfàsẹ́yìn,ìfàsẹ́yìn
extremism,ipanilaya,èrò ìpẹkùn,èrò ìpẹkùn
rogue,Ole,Olè,Olè
promises,awọn ileri,,awọn ileri
alienate,yapa,yapa,yapa
foreign,ajeji,àjèjì,àjèjì
repulsiveness,ikorira,ìkórìíra,ìkórìíra
assult,assult,ìkọlù,ìkọlù
affirm,jẹrisi,,jẹrisi
intense,kikankikan,kíkankíkan,kíkankíkan
theocratic,ti ijọba,ti-ìjọba,ti-ìjọba
ceremony,ayeye,,ayeye
timorous,timorous,ẹ̀rù,ẹ̀rù
volunteer,oluyọọda,,oluyọọda
chatty,iwiregbe,ìwírègbé,ìwírègbé
abovementioned,lokementioned,ti a tisọloke,ti a tisọloke
ineffectual,alailere,àìlérè,àìlérè
beckoned,beckoned,pe,pe
connoisseur,onimọran,,onimọran
talisman,talisman,ògùn ìbílẹ̀ òyìnbó,ògùn ìbílẹ̀ òyìnbó
ruthlessly,laanu,àìláàánú,àìláàánú
sloppy,ọlẹ,dàgẹ̀ẹ̀rẹ̀,dàgẹ̀ẹ̀rẹ̀
dove,àdàbà,,àdàbà
smite,lu,fún-lẹ́ṣẹ̀,fún-lẹ́ṣẹ̀
qualifying,iyege,,iyege
fad,fad,làmìlaka,làmìlaka
rust,ipata,dógùn-ún,dógùn-ún
funny,awada,panilerin,panilerin
sunk,rì,rì,rì
wow,Iro ohun,wow,wow
coldly,tutu,tutù,tutù
thundering,àrá,ìsán-àrá,ìsán-àrá
panders,panders,ìṣàkóso àwọn aṣẹ́wó,ìṣàkóso àwọn aṣẹ́wó
trepidation,iberu,ìwárírì,ìwárírì
pretence,itanra,ìtànjẹ,ìtànjẹ
awaited,duro de,dúró dè,dúró dè
receiving,gba,,gba
goo,goo,ọ̀ràn,ọ̀ràn
irons,awọn irin,irin,irin
spear,ọkọ,ọkọ̀,ọkọ̀
spammer,spammer,aláàwúrúju,aláàwúrúju
adventures,seresere,awọn idawọle,awọn idawọle
glibly,ni irọrun,ẹnú dídùn,ẹnú dídùn
broken-hearted,oníròbìnújẹ́ ọkàn,oníròbìnújẹ́ ọkàn,oníròbìnújẹ́ ọkàn
balanced,iwontunwonsi,,iwontunwonsi
awfulness,buruju,burújù,burújù
anxious,aniyan,àníyàn,àníyàn
accusation,ẹsùn,ẹ̀sùn,ẹ̀sùn
scavenger,apanirun,gbálẹ̀-gbálẹ̀,gbálẹ̀-gbálẹ̀
solvency,solvency,ojútù,ojútù
chronicle,akoole,,akoole
bacterium,kokoro arun,batéríà,batéríà
fragmented,pipin,pínpín,pínpín
servitude,isinru,ìsìnrú,ìsìnrú
uplift,gbe soke,,gbe soke
scant,kekere,fọ́nká,fọ́nká
scheme,eto,ètò,ètò
inclement,inira,àìláàánú,àìláàánú
grate,wẹwẹ,wẹ́,wẹ́
wildly,igboro,ijù,ijù
rail,iṣinipopada,ìsínípòpadà,ìsínípòpadà
harlot,panṣaga,panṣágà,panṣágà
plotters,awọn alagbimọ,ọlọ́tẹ̀,ọlọ́tẹ̀
mainstay,pataki,,pataki
beggarly,alagbe,alágbè,alágbè
manslaughter,ipaniyan,ìpànìyàn,ìpànìyàn
unjust,alaiṣododo,áìṣòdodo,áìṣòdodo
recomend,ṣe iṣeduro,,ṣe iṣeduro
inattentive,aibikita,àìbìkítà,àìbìkítà
fornication,agbere,àgbèrè,àgbèrè
affability,igbẹkẹle,ninurere,ninurere
motivating,iwuri,,iwuri
rewards,awọn ere,,awọn ere
meaningless,asan,asán,asán
fortunate,orire,,orire
reticent,reticent,fífi èrò eni pamo,fífi èrò eni pamo
biblical,bibeli,,bibeli
beware,kiyesara,kíyè sára,kíyè sára
exultantly,pẹlu ayọ,,pẹlu ayọ
staggering,iyalẹnu,yanilẹ́nu,yanilẹ́nu
authoritative,alaṣẹ,,alaṣẹ
pompous,igberaga,ìgbéraga,ìgbéraga
matter,ọrọ,,ọrọ
dastardly,dastardly,òpè,òpè
clash,figagbaga,figagbaga,figagbaga
abuses,ilokulo,àwọn ìlòkudò,àwọn ìlòkudò
homicidal,apaniyan,ìpànìyàn,ìpànìyàn
rigorous,lile,ìrorò,ìrorò
ruthless,aláìláàánú,aláìláàánú,aláìláàánú
depreciation,isọdọmọ,àdínkù,àdínkù
cashbacks,awọn owo sisan,,awọn owo sisan
slate,sileti,,sileti
breakdown,ko ṣiṣẹ,kò ṣiṣẹ́,kò ṣiṣẹ́
contestable,idije,ìdíje,ìdíje
inmate,ẹlẹwọn,ẹlẹ́wọ̀n,ẹlẹ́wọ̀n
ripe,Pọn,,Pọn
supple,rirọ,,rirọ
valiant,akọni,,akọni
scummy,ẹlẹgbin,ẹlẹ́gbin,ẹlẹ́gbin
exhilaratingly,igbadun,pelu inudidun,pelu inudidun
accomplishments,awọn aṣeyọri,,awọn aṣeyọri
tin-y,tin-y,kéré,kéré
godsend,oriṣa,lati ọdọ olorun,lati ọdọ olorun
forbearance,ifarada,,ifarada
indiscriminating,aibikita,àìbìkítà,àìbìkítà
dispassionate,alaigbọran,àìlẹ́jànú,àìlẹ́jànú
irrevocable,aidibajẹ,àìyípadà,àìyípadà
unwitting,laimo,àìlóye,àìlóye
prejudicial,alatako,ètanú,ètanú
furor,ariwo,ariwo,ariwo
culprit,ẹlẹṣẹ,ẹlẹ́sẹ̀,ẹlẹ́sẹ̀
immovable,aidibajẹ,tí kò lè kúrò lójú kan,tí kò lè kúrò lójú kan
distrust,igbekele,àìnígbẹ́kẹ̀lé,àìnígbẹ́kẹ̀lé
interior,inu ilohunsoke,inu,inu
vainly,lásán,lásán,lásán
womanizer,obinrin,kóbìnrin,kóbìnrin
shriek,igbe,ìrora,ìrora
douchebags,douchebags,ajọra-ẹni-lójú,ajọra-ẹni-lójú
achievements,awọn aṣeyọri,,awọn aṣeyọri
maiden,omidan,,omidan
fulfillment,imuse,,imuse
resolve,yanju,,yanju
shock,mọnamọna,gbé,gbé
encourage,iwuri fun,gba niyanju,gba niyanju
crisis,idaamu,ìrúkèrúdò,ìrúkèrúdò
pratfall,pratfall,ìṣubú,ìṣubú
recovery,imularada,,imularada
fracture,dida egungun,dídá egungun,dídá egungun
epic,apọju,àpọ̀jù,àpọ̀jù
disquietude,aibanujẹ,àìfọkànbalẹ̀,àìfọkànbalẹ̀
humiliation,itiju,ìtìjú,ìtìjú
deserted,ti kọ silẹ,kọ̀sílẹ̀,kọ̀sílẹ̀
bumpy,bumpy,ìjálù,ìjálù
shopping,ohun tio wa,rírà li ọjá,rírà li ọjá
upseting,ibanuje,dàláámù,dàláámù
unbelievably,alaigbagbọ,aláìṣégbàgbọ́,aláìṣégbàgbọ́
mocks,ẹlẹgàn,ẹlẹ́gàn,ẹlẹ́gàn
ridicule,ipaya,pẹ̀gàn,pẹ̀gàn
untenable,untenable,àìṣégbà,àìṣégbà
full,kun,,kun
infirmity,ailera,àárẹl-àgbà,àárẹl-àgbà
lambaste,ọdọ -agutan,ọ̀dọ́ àgùntàn,ọ̀dọ́ àgùntàn
fever,ibà,ibà,ibà
sewerage,idoti,omi-ìdọ̀tí,omi-ìdọ̀tí
charmingly,pele,nifaiya,nifaiya
rival,orogun,orogún,orogún
pluses,pluss,awọn ifikun,awọn ifikun
smitten,lù,,lù
accuses,ẹsùn,àwọn ẹ̀sùn,àwọn ẹ̀sùn
indignant,ibinu,ìbínú,ìbínú
joyfully,pelu ayo,,pelu ayo
burdening,ẹrù,ẹrù,ẹrù
rend,yiya,fàya,fàya
scandalize,sikandali,ìbanilọ́kànjẹ́,ìbanilọ́kànjẹ́
disgruntled,disgruntled,ìpalára,ìpalára
incompatibility,ibamu,àìsí-ní-ìbámu,àìsí-ní-ìbámu
stupidly,omugo,òmùgọ̀,òmùgọ̀
chivalrous,chivalrous,oni iwa rere,oni iwa rere
undying,ailopin,,ailopin
tetchy,tetchy,ìbínú,ìbínú
plunder,ikogun,ìkógun,ìkógun
gruesomely,gruesomely,burú jù,burú jù
riots,rudurudu,rògbòdìyàn,rògbòdìyàn
familiarity,faramọ,,faramọ
smear,ṣan,ṣan,ṣan
surety,oniduro,,oniduro
plush,edidan,,edidan
forlornly,forlornly,ìkọ̀sílẹ̀,ìkọ̀sílẹ̀
worthy,yẹ,,yẹ
engrossed,engrossed,gba gbogbo,gba gbogbo
optimal,ti aipe,to daraju,to daraju
inspector,olubẹwo,,olubẹwo
butcher,ẹran,apẹran,apẹran
congratulation,oriire,,oriire
euthanasia,euthanasia,ìpànìyàn,ìpànìyàn
wastefulness,egbin,àpà,àpà
sincerity,ododo,,ododo
horrific,oburewa,òbùrẹwà,òbùrẹwà
coerced,fi agbara mu,fi agbára mú,fi agbára mú
relentlessly,lainidi,aláìfàsẹ́yìn,aláìfàsẹ́yìn
female,obinrin,,obinrin
rapt,rapt,fetisilẹ,fetisilẹ
support,atilẹyin,,atilẹyin
foreman,olori,,olori
blames,awọn ẹbi,àwọn ẹ̀bi,àwọn ẹ̀bi
insecure,ailewu,àìléwu,àìléwu
toll,Owo-ipe,ibodè,ibodè
reprisal,igbẹsan,ìgbẹ̀san,ìgbẹ̀san
feign,feign,dínbọ́n,dínbọ́n
garbage,idoti,ìdọ̀tí,ìdọ̀tí
rockstars,rockstars,àwọn olókìkí,àwọn olókìkí
starving,ebi npa,ebi ń pa,ebi ń pa
beg,ṣagbe,ṣagbe,ṣagbe
monopolized,monopolized,ànìkànjọgbọ́n,ànìkànjọgbọ́n
affected,fowo,pa lára,pa lára
stalling,duro,dúró,dúró
immediately,lẹsẹkẹsẹ,,lẹsẹkẹsẹ
crumble,isisile,fọ́,fọ́
disgruntle,disgruntle,ìpalára,ìpalára
postpone,sun siwaju,sún síwájú,sún síwájú
indulgent,indulgent,ike,ike
avalanche,owusuwusu,òwùsùwúsù,òwùsùwúsù
precise,kongẹ,,kongẹ
model,awoṣe,,awoṣe
floored,pakà,ilẹ̀,ilẹ̀
reprehensibly,reprehensibly,ìdálẹ́bi,ìdálẹ́bi
reliably,gbẹkẹle,se gbẹkẹle,se gbẹkẹle
compost,compost,ajílẹ̀,ajílẹ̀
rave,rave,ijó-alẹ́,ijó-alẹ́
soothingly,itunu,tunto,tunto
goddamn,olorun,Ọlọ́run,Ọlọ́run
dispossessed,ti yọ kuro,fidù,fidù
atherosclerosis,atherosclerosis,ọ̀ra-iṣan,ọ̀ra-iṣan
illegally,arufin,arúfin,arúfin
generosity,ilawo,,ilawo
confounded,daamu,dààmú,dààmú
increase,alekun,,alekun
exacting,ṣiṣe deede,ìṣedèèdé,ìṣedèèdé
scab,egbò,egbò,egbò
pain-free,laisi irora,,laisi irora
pop,agbejade,yọjáde,yọjáde
hardships,inira,ìnira,ìnira
unison,isokan,,isokan
insulting,itiju,ìtìjú,ìtìjú
extravagance,apọju,àpọ̀jú,àpọ̀jú
exceedingly,pupọju,,pupọju
backwater,agbada omi,adágun-omi,adágun-omi
choir,akorin,,akorin
steeply,ga,jinlẹ̀,jinlẹ̀
uncompromising,alaigbagbọ,aláìládèhún,aláìládèhún
exile,ìgbèkùn,ìgbèkùn,ìgbèkùn
